yr_released,race,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony,max_sentence
2010,Black,1,C Felony,Violent,Robbery,Parole,7JD,1,1,0,True,10.0
2010,White,1,D Felony,Property,Theft,Discharged – End of Sentence,Unknown,1,0,0,True,5.0
2010,White,2,B Felony,Drug,Trafficking,Parole,5JD,1,1,0,True,50.0
2010,White,1,B Felony,Other,Other Criminal,Parole,6JD,0,1,0,True,50.0
2010,Black,2,D Felony,Violent,Assault,Discharged – End of Sentence,Unknown,1,0,0,True,5.0
2010,White,1,C Felony,Drug,Trafficking,Parole,4JD,0,1,0,True,10.0
2010,White,1,C Felony,Drug,Trafficking,Parole,4JD,0,1,0,True,10.0
2010,Black,2,D Felony,Public Order,OWI,Parole,6JD,1,1,0,True,5.0
2010,White,1,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,0,1,0,True,10.0
2010,Black,1,C Felony,Violent,Other Violent,Parole,1JD,1,1,0,True,10.0
2010,White,1,C Felony,Drug,Trafficking,Parole,3JD,1,1,0,True,10.0
2010,White,1,C Felony,Drug,Trafficking,Parole,1JD,1,1,0,True,10.0
2010,Black,2,D Felony,Drug,Drug Possession,Parole,8JD,1,1,0,True,5.0
2010,White,3,D Felony,Drug,Other Drug,Discharged – End of Sentence,Unknown,0,0,0,True,5.0
2010,White,3,D Felony,Drug,Other Drug,Discharged – End of Sentence,Unknown,0,0,0,True,5.0
2010,Black,0,C Felony,Property,Burglary,Parole,1JD,0,1,0,True,10.0
2010,White,0,D Felony,Public Order,OWI,Discharged – End of Sentence,Unknown,1,0,0,True,5.0
2010,White,2,D Felony,Property,Theft,Parole,7JD,1,1,1,True,5.0
2010,Black,1,C Felony,Violent,Sex,Discharged – End of Sentence,Unknown,0,0,1,True,10.0
2010,Black,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,Unknown,0,0,0,False,2.0
2010,Black,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,Unknown,0,0,0,False,2.0
2010,White,2,D Felony,Violent,Assault,Parole,6JD,0,1,0,True,5.0
2010,White,2,D Felony,Violent,Assault,Parole,6JD,0,1,0,True,5.0
2010,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,5.0
2010,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,5.0
2010,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,5.0
2010,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,5.0
2010,White,0,D Felony,Drug,Trafficking,Parole,6JD,1,1,0,True,5.0
2010,Black,0,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,0,1,1,False,2.0
2010,White,3,Aggravated Misdemeanor,Property,Theft,Parole,2JD,0,1,0,False,2.0
2010,American Native,1,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,True,10.0
2010,White,1,B Felony,Drug,Trafficking,Parole,5JD,1,1,0,True,50.0
2010,White,1,Felony - Enhanced,Property,Theft,Parole,8JD,1,1,0,True,10.0
2010,White,0,D Felony,Property,Theft,Parole,5JD,1,1,0,True,5.0
2010,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,50.0
2010,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,50.0
2010,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,50.0
2010,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,50.0
2010,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,50.0
2010,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,50.0
2010,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,50.0
2010,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,Unknown,0,0,0,True,50.0
2010,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,Unknown,1,0,0,False,2.0
2010,Black,1,C Felony,Property,Burglary,Parole,7JD,1,1,0,True,10.0
2010,Black,2,D Felony,Property,Burglary,Parole,6JD,0,1,0,True,5.0
2010,White,4,C Felony,Property,Theft,Parole,1JD,0,1,0,True,10.0
