yr_released,race,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,enhanced,ethnicity
2010,Black,2,6,Violent,Robbery,Paroled,7JD,1,1,0,1,Non Hispanic
2010,White,2,4,Property,Theft,Discharged,,1,0,0,0,Non Hispanic
2010,White,3,7,Drug,Trafficking,Paroled,5JD,1,1,0,0,Non Hispanic
2010,White,2,7,Other,Other Criminal,Paroled,6JD,0,1,0,0,Non Hispanic
2010,Black,3,4,Violent,Assault,Discharged,,1,0,0,0,Non Hispanic
2010,White,2,6,Drug,Trafficking,Paroled,4JD,0,1,0,0,Non Hispanic
2010,White,2,6,Drug,Trafficking,Paroled,4JD,0,1,0,0,Non Hispanic
2010,Black,3,4,Public Order,OWI,Paroled,6JD,1,1,0,1,Non Hispanic
2010,White,2,4,Property,Forgery/Fraud,Paroled,7JD,0,1,0,1,Non Hispanic
2010,Black,2,6,Violent,Other Violent,Paroled,1JD,1,1,0,0,Non Hispanic
2010,White,2,6,Drug,Trafficking,Paroled,3JD,1,1,0,0,Non Hispanic
2010,White,2,6,Drug,Trafficking,Paroled,1JD,1,1,0,0,Non Hispanic
2010,Black,3,4,Drug,Drug Possession,Paroled,8JD,1,1,0,2,Non Hispanic
2010,White,4,4,Drug,Other Drug,Discharged,,0,0,0,0,Non Hispanic
2010,White,4,4,Drug,Other Drug,Discharged,,0,0,0,0,Non Hispanic
2010,Black,1,6,Property,Burglary,Paroled,1JD,0,1,0,0,Non Hispanic
2010,White,1,4,Public Order,OWI,Discharged,,1,0,0,1,Non Hispanic
2010,White,3,4,Property,Theft,Paroled,7JD,1,1,1,0,Non Hispanic
2010,Black,2,6,Violent,Sex,Discharged,,0,0,1,0,Non Hispanic
2010,Black,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,Black,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,3,4,Violent,Assault,Paroled,6JD,0,1,0,0,Non Hispanic
2010,White,3,4,Violent,Assault,Paroled,6JD,0,1,0,0,Non Hispanic
2010,Black,1,4,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,Black,1,4,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,Black,1,4,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,Black,1,4,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,1,4,Drug,Trafficking,Paroled,6JD,1,1,0,0,Non Hispanic
2010,Black,1,3,Property,Forgery/Fraud,Paroled,1JD,0,1,1,0,Non Hispanic
2010,White,4,3,Property,Theft,Paroled,2JD,0,1,0,0,Non Hispanic
2010,N/A/PA,2,4,Drug,Trafficking,Paroled,1JD,0,1,0,1,Hispanic
2010,White,2,7,Drug,Trafficking,Paroled,5JD,1,1,0,0,Non Hispanic
2010,White,2,4,Property,Theft,Paroled,8JD,1,1,0,1,Non Hispanic
2010,White,1,4,Property,Theft,Paroled,5JD,1,1,0,0,Non Hispanic
2010,White,2,7,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,7,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,7,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,7,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,7,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,7,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,7,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,7,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Violent,Assault,Discharged,,1,0,0,0,Non Hispanic
2010,Black,2,6,Property,Burglary,Paroled,7JD,1,1,0,0,Non Hispanic
2010,Black,3,4,Property,Burglary,Paroled,6JD,0,1,0,0,Non Hispanic
2010,White,5,6,Property,Theft,Paroled,1JD,0,1,0,0,Non Hispanic
2010,White,2,4,Public Order,Traffic,Paroled,8JD,0,1,0,0,Non Hispanic
2010,Black,5,4,Drug,Trafficking,Paroled,1JD,0,1,0,1,Non Hispanic
2010,White,2,4,Drug,Trafficking,Paroled,4JD,1,1,0,0,Non Hispanic
2010,White,3,3,Public Order,Alcohol,Paroled,2JD,0,1,0,0,Non Hispanic
2010,White,3,3,Public Order,Alcohol,Paroled,2JD,0,1,0,0,Non Hispanic
2010,White,1,4,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,4,4,Drug,Trafficking,Paroled,7JD,1,1,1,1,Non Hispanic
2010,N/A/PA,2,6,Violent,Sex,Discharged,,0,0,0,0,Hispanic
2010,White,2,6,Property,Theft,Discharged,,1,0,0,0,Non Hispanic
2010,N/A/PA,4,4,Drug,Other Drug,Discharged,,0,0,1,0,Hispanic
2010,White,1,6,Property,Burglary,Paroled,6JD,1,1,0,0,Non Hispanic
2010,White,2,6,Violent,Robbery,Paroled,4JD,1,1,0,1,Non Hispanic
2010,Black,2,4,Drug,Trafficking,Paroled,1JD,0,1,0,1,Non Hispanic
2010,Black,2,4,Drug,Trafficking,Paroled,1JD,0,1,0,1,Non Hispanic
2010,White,2,4,Public Order,Traffic,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,4,Public Order,Traffic,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,4,Public Order,Traffic,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,4,Property,Theft,Paroled,2JD,1,0,0,1,Non Hispanic
2010,N/A/PA,3,3,Property,Theft,Discharged,,0,0,0,0,Hispanic
2010,White,3,4,Property,Forgery/Fraud,Paroled,7JD,0,1,1,0,Non Hispanic
2010,White,3,4,Property,Forgery/Fraud,Paroled,7JD,0,1,1,0,Non Hispanic
2010,White,3,4,Property,Forgery/Fraud,Paroled,7JD,0,1,1,0,Non Hispanic
2010,White,2,7,Other,Other Criminal,Paroled,4JD,1,1,1,0,Non Hispanic
2010,Black,3,4,Property,Forgery/Fraud,Paroled,1JD,1,1,0,0,Non Hispanic
2010,White,4,3,Violent,Assault,Discharged,,1,0,0,0,Non Hispanic
2010,N/A/PA,2,3,Property,Vandalism,Discharged,,0,0,0,0,Hispanic
2010,Black,5,6,Drug,Trafficking,Paroled,2JD,1,1,0,0,Non Hispanic
2010,White,3,6,Violent,Robbery,Paroled,8JD,0,1,0,1,Non Hispanic
2010,White,2,4,Drug,Trafficking,Paroled,2JD,0,1,0,0,Non Hispanic
2010,White,2,4,Drug,Trafficking,Paroled,2JD,0,1,0,0,Non Hispanic
2010,White,2,4,Drug,Trafficking,Paroled,2JD,0,1,0,0,Non Hispanic
2010,White,2,4,Drug,Trafficking,Paroled,2JD,0,1,0,0,Non Hispanic
2010,White,2,4,Drug,Trafficking,Paroled,2JD,0,1,0,0,Non Hispanic
2010,White,5,7,Violent,Sex,Discharged,,0,0,1,0,Non Hispanic
2010,White,2,4,Property,Forgery/Fraud,Paroled,4JD,0,1,1,0,Non Hispanic
2010,White,1,6,Drug,Other Drug,Paroled,1JD,0,1,0,0,Non Hispanic
2010,Black,3,4,Violent,Other Violent,Discharged,,0,0,0,0,Non Hispanic
2010,White,4,4,Public Order,Weapons,Paroled,1JD,0,1,0,1,Non Hispanic
2010,White,3,4,Violent,Assault,Paroled,1JD,0,1,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,0,0,0,0,Non Hispanic
2010,White,2,4,Drug,Drug Possession,Paroled,8JD,0,1,1,2,Non Hispanic
2010,White,2,3,Drug,Drug Possession,Paroled,8JD,1,1,0,1,Non Hispanic
2010,White,5,4,Property,Theft,Paroled,1JD,1,1,1,0,Non Hispanic
2010,White,2,4,Violent,Other Violent,Paroled,1JD,1,1,0,0,Non Hispanic
2010,Black,2,7,Violent,Other Violent,Discharged,,1,1,0,0,Non Hispanic
2010,White,4,4,Property,Theft,Paroled,1JD,0,1,1,0,Non Hispanic
2010,White,2,4,Property,Theft,Paroled,5JD,1,1,0,0,Non Hispanic
2010,White,3,6,Drug,Trafficking,Paroled,7JD,0,1,0,0,Non Hispanic
2010,White,4,4,Property,Burglary,Discharged,,1,0,0,0,Non Hispanic
2010,White,4,4,Property,Burglary,Paroled,8JD,0,1,0,0,Non Hispanic
2010,Black,3,4,Property,Theft,Paroled,7JD,0,1,1,0,Non Hispanic
2010,White,2,4,Property,Burglary,Discharged,,0,0,1,0,Non Hispanic
2010,N/A/PA,2,4,Violent,Assault,Discharged,,1,0,0,0,Hispanic
2010,White,3,4,Property,Forgery/Fraud,Paroled,5JD,0,1,1,0,Non Hispanic
2010,White,3,4,Property,Forgery/Fraud,Paroled,5JD,0,1,1,0,Non Hispanic
2010,White,3,4,Property,Forgery/Fraud,Paroled,5JD,0,1,1,0,Non Hispanic
2010,White,2,6,Drug,Trafficking,Paroled,2JD,1,1,0,0,Non Hispanic
2010,White,2,4,Property,Forgery/Fraud,Discharged,,0,0,0,0,Non Hispanic
2010,White,3,6,Property,Theft,Paroled,5JD,1,1,0,0,Non Hispanic
2010,Black,2,6,Drug,Trafficking,Paroled,1JD,1,1,0,0,Non Hispanic
2010,White,3,6,Drug,Trafficking,Paroled,5JD,1,1,0,0,Non Hispanic
2010,White,2,3,Property,Theft,Discharged,,1,0,0,0,Non Hispanic
2010,White,3,4,Property,Theft,Discharged,,0,0,1,0,Non Hispanic
2010,Black,5,4,Drug,Trafficking,Discharged,,0,0,0,0,Non Hispanic
2010,White,3,6,Property,Burglary,Discharged,,0,0,0,0,Non Hispanic
2010,White,3,6,Property,Burglary,Discharged,,0,0,0,0,Non Hispanic
2010,White,3,6,Property,Burglary,Discharged,,0,0,0,0,Non Hispanic
2010,Black,4,4,Property,Theft,Paroled,6JD,1,1,0,1,Non Hispanic
2010,Black,2,6,Drug,Trafficking,Paroled,8JD,0,1,0,0,Non Hispanic
2010,Black,2,6,Drug,Trafficking,Paroled,8JD,0,1,0,0,Non Hispanic
2010,Black,2,6,Drug,Trafficking,Paroled,8JD,0,1,0,0,Non Hispanic
2010,White,2,6,Violent,Sex,Discharged,,0,0,0,0,Non Hispanic
2010,White,3,4,Drug,Drug Possession,Paroled,6JD,0,1,0,2,Non Hispanic
2010,White,3,4,Drug,Drug Possession,Paroled,6JD,0,1,0,2,Non Hispanic
2010,White,5,6,Drug,Trafficking,Paroled,7JD,0,1,0,0,Non Hispanic
2010,White,1,4,Drug,Other Drug,Paroled,1JD,1,1,0,0,Non Hispanic
2010,White,2,4,Violent,Assault,Paroled,8JD,0,1,0,1,Non Hispanic
2010,White,2,4,Drug,Trafficking,Paroled,7JD,0,1,0,0,Non Hispanic
2010,White,4,6,Violent,Robbery,Paroled,8JD,1,1,0,1,Non Hispanic
2010,Black,2,6,Drug,Trafficking,Paroled,7JD,1,1,0,0,Non Hispanic
2010,Black,3,3,Violent,Assault,Discharged,,1,0,0,0,Non Hispanic
2010,Black,1,6,Property,Theft,Paroled,4JD,1,1,0,0,Non Hispanic
2010,White,1,4,Property,Vandalism,Paroled,2JD,1,1,0,0,Non Hispanic
