iter	Logloss
0	0.5798319263
1	0.4907708291
2	0.4265492093
3	0.3781928747
4	0.3396673216
5	0.3119629666
6	0.2909125274
7	0.273952952588	0.261518271199	0.252340885
10	0.2451462977
11	0.2388940094112	0.2345842277113	0.2312285455114	0.2286036061115	0.226375495
16	0.224689565
17	0.223197816
18	0.2216931746
19	0.2208184012
20	0.2201486541
21	0.2192993486
22	0.2188402502
23	0.2185184267
24	0.2181941782
25	0.2177877983
26	0.2174765111
27	0.2172644505
28	0.217129858
29	0.2167233754
30	0.2166238455
31	0.2165436113
32	0.2162783661
33	0.2160698801
34	0.2160127982
35	0.2156164555
36	0.2154377187
37	0.2153378256
38	0.2151086818
39	0.2150846891
40	0.2147298476
41	0.2146926838
42	0.2146796211
43	0.2145853461
44	0.2145105817
45	0.2144543412
46	0.2144503179
47	0.2143648384
48	0.2142906687
49	0.214101905
50	0.2140585396
51	0.2139182931
52	0.2137441038
53	0.2137012076
54	0.2136914101
55	0.2136790474
56	0.2136767628
57	0.2136197508
58	0.2136166657
59	0.2135281058
60	0.2135232475
61	0.2135231392
62	0.213522388
63	0.2134947691
64	0.2134848788665	0.2134566482666	0.2132027308667	0.2130692902668	0.2130644414669	0.2130362526770	0.2130088638771	0.2130039411772	0.2129720163773	0.2128692582774	0.2128276765775	0.2127662946776	0.2127475382777	0.2127112592778	0.2125863747979	0.2125385880	80	0.2124607781	81	0.2124249282	82	0.2124085983	83	0.2123551184	84	0.2122265385	85	0.2120892086	86	0.2120652987	87	0.2119638888	88	0.2119584389	89	0.2118467590	90	0.2118104991	91	0.2118039392	92	0.211798159393	0.2117953529494	0.2117952889595	0.2117503896	96	0.2116842597	97	0.2116320698	98	0.2115959099	99	0.21159210100100	0.21154873101101	0.21149191102102	0.21147605103103	0.21139928104104	0.2113808105	105	0.211375106	0106	0.211358107	0107	0.211350108	0108	0.211311109	0109	0.211296110	0110	0.211280111	0111	0.211251112	0112	0.211251113	0113	0.211064114	0114	0.2110115	0.115	0.2110116	0.2116	0.2110117	0.2117	0.2110118	0.2118	0.2109119	0.2119	0.2109120	0.2120	0.2109121	0.2121	0.2109122	0.2122	0.2108123	0123	0.210837124	0124	0.210755125	0125	0.210732126	0126	0.210714127	0127	0.210641128	128	0.210594129	0129	0.210419130	0130	0.210379131	0131	0.21027132	0.132	0.21022133	0.133	0.2100134	0.2134	0.2099135	0.135	0.20983136	0136	0.209784137	0137	0.209766138	0138	0.209673139	0139	0.209638140	0140	0.209519141	0141	0.20947142	0.142	0.20939143	0.143	0.20936144	0.144	0.20925145	0.145	0.20890146	0.146	0.20884147	0.147	0.208148	0.2148	0.2087149	0.149	0.208150	0.20150	0.208151	0.20151	0.208152	0.20152	0.208153	0.20153	0.208154	0.20154	0.208155	0.20155	0.208156	0.20156	0.207157	0.20157	0.207158	0.20158	0.207159	0.20159	0.207160	0.20160	0.207161	0.2161	0.2075162	0.2162	0.2074163	0.2163	0.2072164	0.2164	0.2072165	0.2165	0.2070166	0.2166	0.2069167	0.167	0.20696168	0.168	0.20691169	0.169	0.20689170	0.170	0.20686171	0.171	0.20685172	0.172	0.20683173	0.173	0.20682174	0.174	0.20678175	0175	0.206711176176	0.20666342177177	0.20608316178178	0.20605883179179	0.20605029180180	0.2060323818181	0.2055659831182	0.20551921271183	0.20548470761184	0.20544340541185	0.20530642361186	0.20526897111187	0.20518220861188	0.20511032441189	0.20504749411190	0.20497707361191	0.20492152211192	0.204892148
193	0.2048762303
194	0.2048430651
195	0.2048371554
196	0.2048259278
197	0.2047657651
198	0.2047542929
199	0.2047499021
200	0.2047463059
201	0.204382424
202	0.2043554378
203	0.2043494889
204	0.2043067357
205	0.2042690208
206	0.2042551907
207	0.2038208848
208	0.203725619
209	0.2036972945
210	0.2036188581
211	0.2035910913
212	0.2035597975
213	0.203495094
214	0.2031976181
215	0.2031780055
216	0.2031645181
217	0.2028028499
218	0.2028009861
219	0.2027994397
220	0.2027523518
221	0.2027405605
222	0.2026898299
223	0.2023948164
224	0.2021682392
225	0.202163336
226	0.202157455
227	0.2021386746
228	0.2021290005
