iter	Logloss
0	0.6707759648
1	0.6480892732
2	0.6361997045
3	0.6278628532
4	0.6216444042
5	0.6183491563
6	0.6174416036
7	0.6155903037
8	0.6128473835
9	0.6112221752
10	0.6106526348
11	0.6092960952
12	0.6089476195
13	0.6082529192
14	0.6040732744
15	0.6039665096
16	0.6033309686
17	0.601125467
18	0.599841906
19	0.5990824615
20	0.5989097046
21	0.5984304901
22	0.5975837035
23	0.5970922028
24	0.5962910508
25	0.5961682189
26	0.5957112952
27	0.595263651
28	0.594167558
29	0.5938738947
30	0.5929065105
31	0.5925255221
32	0.5924772273
33	0.5923679995
34	0.5921562729
35	0.5918311441
36	0.5918106711
37	0.5917935539
38	0.5913958637
39	0.5911836469
40	0.5911799895
41	0.5911432114
42	0.5910822774
43	0.5909838399
44	0.5909575891
45	0.5906883305
46	0.590680275
47	0.5904013236
48	0.5903963638
49	0.5903909639
50	0.5903863686
51	0.5903837402
52	0.5903613008
53	0.5900829164
54	0.5900732036
55	0.5900635521
56	0.5899395276
57	0.5899311806
58	0.5899310117
59	0.5899204096
60	0.5899189599
61	0.5899057962
62	0.5899057083
63	0.5899052604
64	0.5898799774
65	0.5898512938
66	0.5898078265
67	0.5897434424
68	0.5897360334
69	0.5897351783
70	0.5897341919
71	0.5897302297
72	0.5897261395
73	0.5897157348
74	0.5897147387
75	0.5897125239
76	0.5897106785
77	0.5897072016
78	0.5896915246
79	0.5896620944
80	0.5896444492
81	0.5896357059
82	0.5888678088
83	0.588596646
84	0.5885963461
85	0.5885716978
86	0.5885627485
87	0.5882049678
88	0.588202261
89	0.5881998679
90	0.5881961937
91	0.588193208
92	0.588172891
93	0.5881643106
94	0.5881575835
95	0.5881540419
96	0.5881242906
97	0.5880759627
98	0.5880758418
99	0.587847621
100	0.5874233683
101	0.5873731099
102	0.5873729388
103	0.5873712265
104	0.5870864507
105	0.5870787398
106	0.5870781609
107	0.5868014816
108	0.5867888532
109	0.5867853721
110	0.5867852216
111	0.5867845297
112	0.5867841204
113	0.5867803375
114	0.5866575707
115	0.5864860997
116	0.5864841724
117	0.5864835575
118	0.5864422877
119	0.5864325211
120	0.586400138
121	0.5863695798
122	0.5863599504
123	0.5861693653
124	0.58616543
125	0.5858934084
126	0.5855553394
127	0.5853046802
128	0.5849766821
129	0.5849290792
130	0.584777017
131	0.5845362292
132	0.5844613894
133	0.5844299983
134	0.5844283696
135	0.5844213605
136	0.5843635575
137	0.5843579965
138	0.5842175485
139	0.5842115787
140	0.5842062728
141	0.5839421508
142	0.5839399748
143	0.5839115139
144	0.583780149
145	0.5836993613
146	0.5836989784
147	0.5836922663
148	0.5836902723
149	0.583530247
150	0.5832359723
151	0.5832317628
152	0.5830458746
153	0.5827408712
154	0.5826653336
155	0.5826613445
156	0.5826318802
157	0.582631148
158	0.5825760001
159	0.5825435308
160	0.5825369334
161	0.5825361453
162	0.5825352175
163	0.5825089725
164	0.5825014968
165	0.5824975918
166	0.5824944913
167	0.5824070131
168	0.5823626358
169	0.5823166931
170	0.582316116
171	0.5821029647
172	0.582101909
173	0.5821003305
174	0.5820955504
175	0.5820924025
176	0.5820897888
177	0.5820897882
178	0.5820891576
179	0.5820891544
180	0.5820868582
181	0.582080493
182	0.5820790444
183	0.5820783034
184	0.5820783034
185	0.5820768455
186	0.5820762814
187	0.5820750109
188	0.5820736922
189	0.5820733116
190	0.5820720332
191	0.5820718502
192	0.5820718488
193	0.5820340193
194	0.582033554
195	0.5820298387
196	0.5820253701
197	0.5820253476
198	0.5820093662
199	0.5820092832
200	0.582008903
201	0.5820058586
202	0.5820056909
203	0.5820056891
204	0.5820046267
205	0.5820045622
206	0.5820043992
207	0.5819660938
208	0.5819377324
209	0.5819377308
210	0.5819369912
211	0.5819299613
212	0.5819249335
213	0.5819245379
214	0.581788495
215	0.5817870421
216	0.5817839114
217	0.5816824485
218	0.5816790149
219	0.5816782058
220	0.5816777621
221	0.5816768187
222	0.5816762307
223	0.581674951
224	0.581667584
225	0.5816173897
226	0.5816113989
227	0.5816112369
228	0.5816092034
229	0.5816071585
230	0.5815872433
231	0.5815852057
232	0.5815845174
233	0.5815844616
234	0.5815834928
235	0.5815833729
236	0.5815827029
237	0.5815820673
238	0.5815810911
239	0.5815763511
240	0.5815762241
241	0.5815760705
242	0.5815759674
243	0.5815726849
244	0.5815726833
