iter	Passed	Remaining
0	598	1794231
1	1737	2603800
2	2805	2802835
3	6021	4510115
4	6408	3838899
5	6670	3328504
6	7008	2996612
7	7307	2732857
8	7647	2541401
9	7861	2350455
10	8076	2194652
11	8289	2064018
12	8640	1985290
13	8869	1891734
14	9064	1803844
15	9703	1809669
16	11746	2061205
17	11997	1987660
18	12155	1907080
19	12804	1907896
20	13489	1913530
21	13648	1847472
22	13949	1805519
23	14088	1747021
24	14167	1685936
25	17113	1957504
26	18929	2084375
27	19508	2070682
28	19642	2012328
29	21479	2126504
