,Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Recidivism Type,Sex
0,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,7JD,Yes,433.0,C Felony,Drug,Trafficking,Yes,New,Male
1,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,453.0,,,,No,Tech,Male
2,2010,2013,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,5JD,Yes,832.0,,,,Yes,Tech,Male
3,2010,2013,White - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,6JD,No,,,,,Yes,No Recidivism,Male
4,2010,2013,Black - Non-Hispanic,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,116.0,,,,No,Tech,Male
5,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,,,,,Yes,No Recidivism,Male
6,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,,,,,Yes,No Recidivism,Male
7,2010,2013,Black - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,6JD,Yes,84.0,,,,Yes,Tech,Male
8,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,No,,,,,Yes,No Recidivism,Male
9,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Parole,1JD,Yes,274.0,,,,Yes,Tech,Male
10,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,165.0,D Felony,Drug,Other Drug,Yes,New,Male
11,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,249.0,,,,Yes,Tech,Male
12,2010,2013,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,1001.0,Aggravated Misdemeanor,Public Order,Traffic,Yes,New,Male
