,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony
0,2010,2013,Black,1,C Felony,Violent,Robbery,Parole,7JD,1,1,0,True
1,2010,2013,White,1,D Felony,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,True
2,2010,2013,White,2,B Felony,Drug,Trafficking,Parole,5JD,1,1,0,True
3,2010,2013,White,1,B Felony,Other,Other Criminal,Parole,6JD,0,1,0,True
4,2010,2013,Black,2,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,True
5,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,4JD,0,1,0,True
6,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,4JD,0,1,0,True
7,2010,2013,Black,2,D Felony,Public Order,OWI,Parole,6JD,1,1,0,True
8,2010,2013,White,1,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,0,1,0,True
9,2010,2013,Black,1,C Felony,Violent,Other Violent,Parole,1JD,1,1,0,True
10,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,3JD,1,1,0,True
11,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,1JD,1,1,0,True
12,2010,2013,Black,2,D Felony,Drug,Drug Possession,Parole,8JD,1,1,0,True
13,2010,2013,White,3,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,0,0,0,True
14,2010,2013,White,3,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,0,0,0,True
15,2010,2013,Black,0,C Felony,Property,Burglary,Parole,1JD,0,1,0,True
16,2010,2013,White,0,D Felony,Public Order,OWI,Discharged – End of Sentence,unknown,1,0,0,True
17,2010,2013,White,2,D Felony,Property,Theft,Parole,7JD,1,1,1,True
18,2010,2013,Black,1,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,1,True
19,2010,2013,Black,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
20,2010,2013,Black,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
21,2010,2013,White,2,D Felony,Violent,Assault,Parole,6JD,0,1,0,True
22,2010,2013,White,2,D Felony,Violent,Assault,Parole,6JD,0,1,0,True
23,2010,2013,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
24,2010,2013,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
25,2010,2013,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
26,2010,2013,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
27,2010,2013,White,0,D Felony,Drug,Trafficking,Parole,6JD,1,1,0,True
28,2010,2013,Black,0,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,0,1,1,False
29,2010,2013,White,3,Aggravated Misdemeanor,Property,Theft,Parole,2JD,0,1,0,False
30,2010,2013,American Native,1,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,True
